,City,Country,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed,Date
46,San Cristobal,VE,7.77,-72.22,40,45,86.0,86.0,1597017791
47,Mineral Wells,US,32.81,-98.11,20,32,98.6,98.6,1597017792
48,Vostok,RU,46.49,135.88,99,100,56.66,56.66,1597017793
49,Khatanga,RU,71.97,102.5,52,71,49.21,49.21,1597017794
50,Esperance,AU,-33.87,121.9,75,93,51.8,51.8,1597017795
51,Okhotsk,RU,59.38,143.3,0,60,66.4,66.4,1597017796
52,Guiratinga,BR,-16.35,-53.76,0,36,71.98,71.98,1597017797
53,Saint-Louis,SN,16.33,-15.0,100,62,86.0,86.0,1597017798
54,Port Alfred,ZA,-33.59,26.89,2,50,59.7,59.7,1597017799
55,Cockburn Town,TC,21.46,-71.14,27,80,82.67,82.67,1597017800
56,Hobyo,SO,5.35,48.53,2,72,75.04,75.04,1597017801
57,Saint Paul Harbor,US,57.79,-152.41,20,45,64.4,64.4,1597017802
58,Mahébourg,MU,-20.41,57.7,75,52,68.0,68.0,1597017804
59,Qaqortoq,GL,60.72,-46.03,98,76,48.2,48.2,1597017805
60,Roald,NO,62.58,6.13,0,86,51.01,51.01,1597017648
61,Jamestown,US,42.1,-79.24,20,69,79.0,79.0,1597017807
62,Bethel,US,41.37,-73.41,1,65,82.4,82.4,1597017808
63,Kavieng,PG,-2.57,150.8,87,70,83.25,83.25,1597017809
64,Norman Wells,CA,65.28,-126.83,40,46,71.6,71.6,1597017810
65,Houma,US,29.6,-90.72,1,88,80.01,80.01,1597017811
66,Ballina,AU,-28.87,153.57,90,58,57.99,57.99,1597017812
67,Nanortalik,GL,60.14,-45.24,99,93,42.49,42.49,1597017813
68,Châteauroux,FR,46.82,1.7,99,88,69.8,69.8,1597017813
69,Avarua,CK,-21.21,-159.78,85,78,77.0,77.0,1597017769
70,Mogadishu,SO,2.04,45.34,65,78,75.31,75.31,1597017630
71,Gravdal,NO,68.12,13.5,99,66,53.89,53.89,1597017818
72,Nouadhibou,MR,20.93,-17.03,20,88,71.6,71.6,1597017819
73,Marrakesh,MA,31.63,-8.01,40,65,78.8,78.8,1597017594
74,Lebu,CL,-37.62,-73.65,98,79,47.5,47.5,1597017821
75,Saint-François,FR,46.42,3.91,100,73,70.0,70.0,1597017822
76,Barrow,US,71.29,-156.79,90,87,42.8,42.8,1597017627
77,Kruisfontein,ZA,-34.0,24.73,0,66,55.0,55.0,1597017824
78,Troitskoye,RU,52.98,84.68,7,78,62.83,62.83,1597017665
79,Hithadhoo,MV,-0.6,73.08,100,81,81.84,81.84,1597017826
80,Yellowknife,CA,62.46,-114.35,75,52,68.0,68.0,1597017827
81,Leningradskiy,RU,69.38,178.42,100,88,38.95,38.95,1597017828
82,San Patricio,MX,19.22,-104.7,75,74,84.2,84.2,1597017829
83,Saint-Philippe,RE,-21.36,55.77,30,59,60.8,60.8,1597017830
84,Qaanaaq,GL,77.48,-69.36,53,74,37.76,37.76,1597017832
85,Tasiilaq,GL,65.61,-37.64,100,93,42.8,42.8,1597017833
86,Karpathos,GR,35.51,27.21,3,83,77.0,77.0,1597017834
87,Tautira,PF,-17.73,-149.15,20,54,84.2,84.2,1597017835
88,Andilamena,MG,-17.02,48.58,24,95,46.62,46.62,1597017836
89,Upernavik,GL,72.79,-56.15,16,72,39.65,39.65,1597017837
90,Cape Town,ZA,-33.93,18.42,40,93,57.99,57.99,1597017612
91,Bengkulu,ID,-3.8,102.27,41,88,75.65,75.65,1597017839
92,Saskylakh,RU,71.92,114.08,99,63,43.29,43.29,1597017840
93,Sola,VU,-13.88,167.55,75,78,82.4,82.4,1597017841
94,Hailar,CN,49.2,119.7,100,87,62.01,62.01,1597017842
95,Kapaa,US,22.08,-159.32,40,66,84.2,84.2,1597017613
96,Lagoa,PT,39.05,-27.98,22,74,71.13,71.13,1597017844
97,Havre-St-Pierre,CA,50.23,-63.6,20,88,62.6,62.6,1597017846
98,Ormara,PK,25.21,64.64,40,86,84.09,84.09,1597017847
99,Los Llanos de Aridane,ES,28.66,-17.92,90,69,75.2,75.2,1597017848
100,Meulaboh,ID,4.14,96.13,51,81,77.0,77.0,1597017849
101,Dikson,RU,73.51,80.55,34,94,43.27,43.27,1597017850
102,Coleraine,GB,55.13,-6.67,75,87,59.0,59.0,1597017698
103,Ribeira Grande,PT,38.52,-28.7,14,78,71.91,71.91,1597017852
104,Lebanon,US,36.21,-86.29,90,65,80.6,80.6,1597017853
105,Brae,GB,60.4,-1.35,32,87,53.6,53.6,1597017854
106,Bourail,NC,-21.57,165.48,57,64,76.95,76.95,1597017855
107,Sawtell,AU,-30.38,153.1,39,58,57.99,57.99,1597017856
108,Hong Kong,HK,22.29,114.16,98,74,89.01,89.01,1597017801
109,Mount Gambier,AU,-37.83,140.77,8,100,44.6,44.6,1597017858
110,Lorengau,PG,-2.02,147.27,96,64,84.74,84.74,1597017859
111,Aykhal,RU,66.0,111.5,90,100,48.2,48.2,1597017861
112,Caldwell,US,43.66,-116.69,1,23,89.01,89.01,1597017862
113,Lavrentiya,RU,65.58,-171.0,60,65,50.79,50.79,1597017863
114,Santo Domingo,DO,18.5,-69.99,40,66,87.8,87.8,1597017841
115,Katsuura,JP,35.13,140.3,75,83,87.01,87.01,1597017865
116,Vila Franca do Campo,PT,37.72,-25.43,20,77,68.0,68.0,1597017866
117,Egvekinot,RU,66.32,-179.17,100,95,45.43,45.43,1597017867
118,Odienné,CI,9.51,-7.57,23,96,70.12,70.12,1597017868
119,Torbay,CA,47.67,-52.73,20,77,68.0,68.0,1597017869
120,Fortuna,US,40.6,-124.16,1,56,79.0,79.0,1597017870
121,East London,ZA,-33.02,27.91,0,42,63.01,63.01,1597017872
122,Taywarah,AF,33.35,64.42,0,41,52.81,52.81,1597017873
123,Gurupá,BR,-1.41,-51.64,31,62,80.11,80.11,1597017874
124,Pullman,US,46.73,-117.18,1,26,79.0,79.0,1597017875
125,Evensk,RU,61.95,159.23,78,63,61.66,61.66,1597017876
126,Bonoua,CI,5.27,-3.6,20,94,75.2,75.2,1597017877
127,Loja,EC,-3.99,-79.2,15,82,53.74,53.74,1597017878
128,Guerrero Negro,MX,27.98,-114.06,0,49,78.64,78.64,1597017879
129,Mersing,MY,2.43,103.84,97,100,78.8,78.8,1597017880
130,Progreso,MX,21.28,-89.67,75,94,73.4,73.4,1597017658
131,Klaksvík,FO,62.23,-6.59,98,93,51.8,51.8,1597017882
132,Tooele,US,40.53,-112.3,1,19,91.4,91.4,1597017603
133,Bathsheba,BB,13.22,-59.52,75,83,82.4,82.4,1597017884
134,Seoul,KR,37.57,126.98,90,100,78.8,78.8,1597017807
135,Salalah,OM,17.02,54.09,75,83,78.8,78.8,1597017886
136,Lázaro Cárdenas,MX,17.96,-102.2,92,68,85.3,85.3,1597017888
137,Albina,SR,5.5,-54.05,92,96,74.62,74.62,1597017889
138,Umluj,SA,25.02,37.27,100,61,85.33,85.33,1597017890
139,Abu Samrah,SY,35.3,37.18,0,81,70.65,70.65,1597017891
140,Gisborne,NZ,-38.65,178.0,0,40,63.0,63.0,1597017892
141,Puerto Ayora,EC,-0.74,-90.35,95,90,68.0,68.0,1597017893
142,Husavik,IS,66.04,-17.34,75,71,57.2,57.2,1597017894
143,Souillac,MU,-20.52,57.52,75,52,68.0,68.0,1597017895
144,Morales,CO,2.76,-76.62,82,79,64.18,64.18,1597017896
145,Gambo,CF,4.65,22.26,100,97,69.08,69.08,1597017897
146,Yuancheng,CN,36.65,107.79,13,59,73.2,73.2,1597017898
147,Mar del Plata,AR,-38.0,-57.56,90,100,48.99,48.99,1597017625
148,Clyde River,CA,70.47,-68.59,90,86,41.0,41.0,1597017901
149,Riyadh,SA,24.69,46.72,14,22,86.0,86.0,1597017861
150,Margate,GB,51.38,1.39,67,91,71.01,71.01,1597017903
151,George Town,MY,5.41,100.34,20,94,82.4,82.4,1597017676
152,Kidal,ML,18.44,1.41,67,52,86.61,86.61,1597017905
153,Pirovskoye,RU,57.63,92.27,7,73,64.15,64.15,1597017906
154,Ahipara,NZ,-35.17,173.17,92,57,57.34,57.34,1597017907
155,Puri,IN,19.8,85.85,75,100,80.6,80.6,1597017908
156,Sioux Lookout,CA,50.1,-91.92,90,73,71.6,71.6,1597017909
157,Entebbe,UG,0.06,32.45,89,63,69.8,69.8,1597017911
158,Thompson,CA,55.74,-97.86,75,77,62.6,62.6,1597017912
159,Jijiga,ET,9.35,42.8,15,69,59.74,59.74,1597017913
160,Turbat,PK,26.0,63.04,34,80,83.46,83.46,1597017914
161,Belen,TR,36.49,36.22,40,65,80.6,80.6,1597017915
162,Havelock,US,34.88,-76.9,1,88,82.99,82.99,1597017665
163,Yangi Marg`ilon,UZ,40.43,71.72,20,53,75.2,75.2,1597017917
164,São João da Barra,BR,-21.64,-41.05,0,84,71.15,71.15,1597017918
165,City of San Pedro,PH,14.35,121.02,100,94,80.01,80.01,1597017748
166,Dingle,PH,11.0,122.67,99,81,82.6,82.6,1597017920
167,Chokurdakh,RU,70.63,147.92,99,66,44.2,44.2,1597017921
168,Shingū,JP,33.73,135.98,40,74,86.0,86.0,1597017922
169,Hasaki,JP,35.73,140.83,75,83,88.0,88.0,1597017923
170,Santa Rosa,PH,14.31,121.11,100,94,80.01,80.01,1597017924
171,Río Gallegos,AR,-51.62,-69.22,100,64,35.6,35.6,1597017714
172,Otuzco,PE,-7.9,-78.58,40,62,52.74,52.74,1597017927
173,Slave Lake,CA,55.28,-114.77,1,40,68.0,68.0,1597017928
174,Sabang,ID,5.89,95.32,98,71,83.95,83.95,1597017929
175,Hobart,AU,-42.88,147.33,20,86,44.01,44.01,1597017930
176,Chui,UY,-33.7,-53.46,95,84,61.41,61.41,1597017796
177,Okha,RU,53.57,142.95,88,74,65.17,65.17,1597017932
178,San Jerónimo,PE,-11.95,-75.28,52,60,50.76,50.76,1597017933
179,Sinnamary,GF,5.38,-52.95,24,87,78.51,78.51,1597017934
180,Gunjur,GM,13.2,-16.73,40,100,78.8,78.8,1597017936
181,Yeniseysk,RU,58.45,92.17,19,70,64.33,64.33,1597017937
182,Vikulovo,RU,56.82,70.61,28,87,64.06,64.06,1597017938
183,Diffa,NE,13.32,12.61,100,74,78.84,78.84,1597017939
184,Severo-Kuril'sk,RU,50.68,156.12,59,85,55.67,55.67,1597017940
185,Mumbwa,ZM,-14.98,27.06,0,46,53.35,53.35,1597017941
186,Nome,US,64.5,-165.41,90,62,54.0,54.0,1597017942
187,Kapit,MY,2.02,112.93,100,79,75.72,75.72,1597017943
188,Necochea,AR,-38.55,-58.74,100,93,46.99,46.99,1597017944
189,Iskateley,RU,67.68,53.15,97,93,46.81,46.81,1597017945
190,Provideniya,RU,64.38,-173.3,75,71,55.4,55.4,1597017947
191,Novyi Yarychiv,UA,49.9,24.31,75,93,60.8,60.8,1597017948
192,Mumford,GH,5.26,-0.76,7,89,72.1,72.1,1597017949
193,Constitución,CL,-35.33,-72.42,100,91,52.83,52.83,1597017950
194,Nikolskoye,RU,59.7,30.79,29,82,64.99,64.99,1597017951
195,Gigmoto,PH,13.78,124.39,88,77,84.27,84.27,1597017952
196,Jardim,BR,-21.48,-56.14,0,32,71.96,71.96,1597017654
197,Vila Velha,BR,-20.33,-40.29,75,78,73.4,73.4,1597017954
198,Luena,AO,-11.78,19.92,0,42,57.99,57.99,1597017955
199,Antofagasta,CL,-23.65,-70.4,90,82,57.2,57.2,1597017956
200,Tabou,CI,4.42,-7.35,41,80,74.97,74.97,1597017957
201,Itoman,JP,26.12,127.67,75,79,86.0,86.0,1597017958
202,Gamboma,CG,-1.88,15.86,79,60,77.94,77.94,1597017960
203,Swetes,AG,17.05,-61.8,20,74,82.4,82.4,1597017961
204,Norrtälje,SE,59.76,18.7,74,63,61.0,61.0,1597017962
205,Pisco,PE,-13.7,-76.22,4,77,62.6,62.6,1597017963
206,Cidreira,BR,-30.18,-50.21,3,72,62.4,62.4,1597017964
207,Vanimo,PG,-2.67,141.3,47,62,84.97,84.97,1597017965
208,Ābādān,IR,30.34,48.3,16,30,93.2,93.2,1597017748
209,Port Hardy,CA,50.7,-127.42,90,77,60.8,60.8,1597017967
210,Atagay,RU,55.1,99.39,91,73,60.93,60.93,1597017968
211,Ol'ga,RU,43.74,135.29,100,95,61.92,61.92,1597017969
212,Berdigestyakh,RU,62.1,126.7,98,76,64.49,64.49,1597017970
213,Angoche,MZ,-16.23,39.91,0,77,65.32,65.32,1597017973
214,Mabaruma,GY,8.2,-59.78,83,89,76.3,76.3,1597017974
215,Baykit,RU,61.67,96.37,1,58,67.8,67.8,1597017975
216,Pevek,RU,69.7,170.31,99,84,39.36,39.36,1597017942
217,Ilulissat,GL,69.22,-51.1,100,86,37.4,37.4,1597017977
218,Arlit,NE,18.74,7.39,100,58,87.22,87.22,1597017978
219,Lima,PE,-12.04,-77.03,75,82,60.8,60.8,1597017806
220,Carnarvon,AU,-24.87,113.63,40,77,64.4,64.4,1597017980
221,Kumul,CN,42.8,93.45,84,16,84.29,84.29,1597017981
222,Noumea,NC,-22.28,166.46,20,57,80.6,80.6,1597017775
223,Mossamedes,AO,-15.2,12.15,1,86,59.43,59.43,1597017983
224,Mayumba,GA,-3.43,10.66,97,79,72.1,72.1,1597017984
225,Korla,CN,41.76,86.15,89,70,82.99,82.99,1597017985
226,Waitati,NZ,-45.75,170.57,89,64,53.01,53.01,1597017986
227,Bassar,TG,9.25,0.78,32,97,66.79,66.79,1597017988
228,Kutum,SD,14.2,24.67,100,78,70.3,70.3,1597017989
229,Mercedes,AR,-34.65,-59.43,99,92,60.01,60.01,1597017990
230,Kaitangata,NZ,-46.28,169.85,89,69,52.0,52.0,1597017991
231,Saint-Donat-de-Montcalm,CA,46.32,-74.22,98,9,64.99,64.99,1597017992
232,Silay,PH,10.8,122.98,100,68,83.41,83.41,1597017993
233,Inhambane,MZ,-23.86,35.38,0,70,62.1,62.1,1597017994
234,Palu,ID,-0.89,119.87,92,75,79.29,79.29,1597017986
235,Cruzeiro do Oeste,BR,-23.79,-53.07,0,46,67.01,67.01,1597017996
236,Glückstadt,DE,53.78,9.42,3,87,68.0,68.0,1597017997
237,São Filipe,CV,14.9,-24.5,37,80,76.91,76.91,1597017999
238,Mundo Nuevo (Ojo de Agua),MX,18.7,-95.5,97,87,79.72,79.72,1597018000
239,Olinda,BR,-8.01,-34.86,75,78,75.2,75.2,1597018002
240,Sambava,MG,-14.27,50.17,36,80,65.68,65.68,1597018003
241,Loikaw,MM,19.67,97.21,100,93,68.68,68.68,1597018004
242,Abashiri,JP,44.02,144.27,75,69,79.0,79.0,1597018005
243,Adrar,MR,20.5,-10.07,0,27,95.56,95.56,1597018006
244,Port Elizabeth,ZA,-33.92,25.57,6,62,59.0,59.0,1597017855
245,Rio Grande,BR,-32.03,-52.1,1,95,60.01,60.01,1597018008
246,Sørland,NO,67.67,12.69,100,63,53.6,53.6,1597018009
247,Port Said,EG,31.26,32.28,0,74,80.6,80.6,1597017805
248,Lumberton,US,34.62,-79.01,1,83,78.8,78.8,1597018012
249,Bambous Virieux,MU,-20.34,57.76,75,52,68.0,68.0,1597018013
250,Richards Bay,ZA,-28.78,32.04,0,71,64.8,64.8,1597017957
251,Waingapu,ID,-9.66,120.26,10,74,78.53,78.53,1597018015
252,Osakarovka,KZ,50.56,72.57,71,56,65.53,65.53,1597018016
253,Sistranda,NO,63.73,8.83,29,93,50.0,50.0,1597018017
254,Lac du Bonnet,CA,50.25,-96.06,68,56,77.0,77.0,1597018018
255,Cherskiy,RU,68.75,161.3,100,88,44.08,44.08,1597018000
256,Dongargaon,IN,20.97,80.85,100,93,75.4,75.4,1597018020
257,Redlands,US,34.06,-117.18,5,16,95.0,95.0,1597018021
258,Luanda,AO,-8.84,13.23,20,88,69.8,69.8,1597017808
259,Ucluelet,CA,48.93,-125.55,40,60,68.0,68.0,1597018024
260,Bell Ville,AR,-32.63,-62.69,41,61,66.18,66.18,1597018025
261,São Miguel,BR,-5.47,-35.37,13,88,75.2,75.2,1597018026
262,Shar,KZ,49.59,81.05,64,54,69.24,69.24,1597018027
263,Miandrivazo,MG,-19.52,45.47,0,78,69.46,69.46,1597018028
264,Qandala,SO,11.47,49.87,0,47,88.02,88.02,1597018029
265,Acapulco de Juárez,MX,16.86,-99.89,75,70,87.8,87.8,1597017813
266,Qazvin,IR,36.28,50.0,1,63,66.2,66.2,1597018031
267,Todos Santos,MX,23.45,-110.22,49,74,82.99,82.99,1597018032
268,Kisangani,CD,0.52,25.2,100,94,71.64,71.64,1597018033
269,Bereda,ES,43.27,-7.54,50,95,64.99,64.99,1597018034
270,Yulara,AU,-25.24,130.99,0,35,48.2,48.2,1597017959
271,Novikovo,RU,51.15,37.89,6,85,61.05,61.05,1597018037
272,Alofi,NU,-19.06,-169.92,0,57,77.0,77.0,1597018038
273,İskenderun,TR,36.59,36.17,40,65,80.6,80.6,1597018039
274,Ferme-Neuve,CA,46.7,-75.45,95,94,64.83,64.83,1597018040
275,Shenkursk,RU,62.11,42.9,74,91,49.19,49.19,1597018041
276,Vitim,RU,59.45,112.56,0,50,70.18,70.18,1597018042
277,Tadine,NC,-21.55,167.88,96,73,74.98,74.98,1597018043
278,Lata,PT,40.16,-8.33,98,98,66.99,66.99,1597018044
279,Port Lincoln,AU,-34.73,135.87,3,76,54.25,54.25,1597018045
280,Shellbrook,CA,53.22,-106.4,75,49,68.0,68.0,1597018046
281,Jambi City,ID,-1.6,103.62,45,95,75.42,75.42,1597018047
282,General Cepeda,MX,25.38,-101.45,40,41,78.8,78.8,1597018049
283,Sabha,LY,27.04,14.43,6,31,87.87,87.87,1597018050
284,Longyearbyen,SJ,78.22,15.64,100,70,44.6,44.6,1597017862
285,Mana,GF,5.66,-53.78,66,87,78.19,78.19,1597017965
286,Indore,IN,22.72,75.83,100,91,75.31,75.31,1597018053
287,New Norfolk,AU,-42.78,147.06,2,93,39.99,39.99,1597017969
288,Noshiro,JP,40.2,140.02,75,100,75.2,75.2,1597018055
289,Makarov,RU,48.63,142.8,53,68,66.76,66.76,1597018056
290,Nantucket,US,41.28,-70.1,1,88,73.4,73.4,1597017986
291,Snåase,NO,64.25,12.38,30,84,47.07,47.07,1597018058
292,Biak,ID,-0.91,122.88,90,75,80.24,80.24,1597018059
293,Chardara,KZ,41.25,67.97,0,40,74.35,74.35,1597018060
294,Malakal,SS,9.53,31.66,100,98,70.16,70.16,1597018061
295,Dalbandin,PK,28.89,64.41,31,42,84.25,84.25,1597018062
296,Saurimo,AO,-9.66,20.39,1,32,67.82,67.82,1597018064
297,Honningsvåg,NO,70.98,25.97,8,92,51.12,51.12,1597018065
298,Camacha,PT,33.08,-16.33,40,78,71.6,71.6,1597018066
299,Lodwar,KE,3.12,35.6,55,45,82.6,82.6,1597018067
300,Winona,US,43.97,-91.77,1,69,82.4,82.4,1597018068
301,Ondjiva,AO,-17.07,15.73,0,30,60.64,60.64,1597018069
302,Departamento de Maldonado,UY,-34.67,-54.92,75,93,57.99,57.99,1597018070
303,Severo-Yeniseyskiy,RU,60.37,93.04,0,57,62.64,62.64,1597018071
304,Moultonborough,US,43.75,-71.4,62,64,78.01,78.01,1597018072
305,Faya,SA,18.39,42.45,76,88,68.0,68.0,1597018073
306,Porosozero,RU,62.72,32.73,73,97,55.33,55.33,1597018074
307,Aklavik,CA,68.22,-135.01,90,76,53.6,53.6,1597018075
308,Jiuquan,CN,39.74,98.52,49,19,74.84,74.84,1597018076
309,Hamilton,US,39.18,-84.53,1,55,87.01,87.01,1597017996
310,Nioro,GM,13.35,-15.75,100,95,75.92,75.92,1597018079
311,Esim,GH,4.87,-2.24,5,85,73.47,73.47,1597018080
312,Thetford Mines,CA,46.09,-71.3,100,82,73.99,73.99,1597018081
313,Wasilla,US,61.58,-149.44,40,63,66.2,66.2,1597018082
314,Saint-Augustin,CA,51.23,-58.65,35,59,71.13,71.13,1597018083
315,Amahai,ID,-3.33,128.92,38,81,80.47,80.47,1597018084
316,Kalakamati,BW,-20.59,27.31,0,37,56.32,56.32,1597018085
317,Beloha,MG,-25.17,45.05,0,39,59.22,59.22,1597017964
318,Lae,PG,-6.72,146.98,87,56,85.95,85.95,1597018087
319,Ayan,RU,56.45,138.17,34,60,64.09,64.09,1597018088
320,Sovetskiy,RU,61.36,63.58,100,96,54.12,54.12,1597018089
321,Chapais,CA,49.78,-74.85,1,50,78.8,78.8,1597017997
322,Samarai,PG,-10.62,150.67,55,85,79.14,79.14,1597018091
323,Galle,LK,6.04,80.22,98,86,78.87,78.87,1597017913
324,Cienfuegos,CU,22.15,-80.44,8,74,86.0,86.0,1597018093
325,Cabo San Lucas,MX,22.89,-109.91,5,46,91.4,91.4,1597017818
326,San Quintín,MX,30.48,-115.95,0,60,74.5,74.5,1597018096
327,Vardø,NO,70.37,31.11,100,88,51.46,51.46,1597018097
328,Zhigalovo,RU,54.81,105.16,71,60,62.65,62.65,1597018098
329,Crotone,IT,39.09,17.12,0,59,78.31,78.31,1597018099
330,Hualmay,PE,-11.1,-77.61,12,82,59.83,59.83,1597018100
331,Porto-Novo,BJ,6.5,2.6,20,88,75.2,75.2,1597018101
332,Kita,ML,13.03,-9.49,100,93,74.05,74.05,1597018102
333,Falmouth,GB,50.15,-5.07,100,93,61.0,61.0,1597018103
334,Laas,IT,46.62,10.7,12,100,64.99,64.99,1597018104
335,Ekhabi,RU,53.51,142.97,85,72,66.33,66.33,1597018106
336,Jaffna,LK,9.67,80.01,100,77,81.68,81.68,1597018107
337,Plettenberg Bay,ZA,-34.05,23.37,8,59,57.36,57.36,1597018108
338,Castro,BR,-24.79,-50.01,5,71,56.79,56.79,1597018109
339,Wanlaweyn,SO,2.62,44.89,84,81,73.29,73.29,1597018110
340,Llanes,ES,43.42,-4.75,99,98,69.01,69.01,1597018111
341,Magadan,RU,59.57,150.8,99,68,59.47,59.47,1597018112
342,Coquimbo,CL,-29.95,-71.34,100,87,53.6,53.6,1597018113
343,Mehamn,NO,71.04,27.85,99,92,50.18,50.18,1597018114
344,Dromolaxia,CY,34.88,33.59,0,78,77.0,77.0,1597018115
345,Voh,NC,-20.97,164.7,79,58,79.18,79.18,1597018116
346,Vao,NC,-22.67,167.48,82,80,72.73,72.73,1597017965
347,Katobu,ID,-4.94,122.53,11,75,80.8,80.8,1597018119
348,Inuvik,CA,68.35,-133.72,90,76,53.6,53.6,1597018120
349,Jagtiāl,IN,18.8,78.93,99,91,75.07,75.07,1597018121
350,Staszów,PL,50.56,21.17,19,1,68.0,68.0,1597018122
351,Tuktoyaktuk,CA,69.45,-133.04,90,81,50.0,50.0,1597018123
352,Gorin,RU,51.2,136.67,99,71,68.41,68.41,1597018124
353,Saquena,PE,-4.67,-73.52,33,70,78.53,78.53,1597018125
354,Shache,CN,38.42,77.24,99,32,77.07,77.07,1597018126
355,Coahuayana Viejo,MX,18.73,-103.68,90,83,77.0,77.0,1597018067
356,Takoradze,GH,4.88,-1.76,5,85,73.15,73.15,1597018128
357,Ladário,BR,-19.0,-57.6,0,24,75.11,75.11,1597018129
358,Les Cayes,HT,18.2,-73.75,87,79,81.48,81.48,1597018130
359,Srednekolymsk,RU,67.45,153.68,100,47,65.71,65.71,1597017995
360,Khasan,RU,42.43,130.64,100,92,72.72,72.72,1597018133
361,Santander,ES,43.46,-3.8,90,94,70.0,70.0,1597018134
362,Tuatapere,NZ,-46.13,167.68,93,92,50.0,50.0,1597018135
363,Neiafu,TO,-18.65,-173.98,40,65,77.0,77.0,1597018136
364,Waipawa,NZ,-41.41,175.52,0,62,59.0,59.0,1597017995
365,Limbang,MY,4.75,115.0,75,83,78.8,78.8,1597018138
366,Voyvozh,RU,62.89,54.96,35,98,44.46,44.46,1597018139
367,Yeppoon,AU,-23.13,150.73,0,59,60.8,60.8,1597018140
368,Griffith,US,41.53,-87.42,1,66,84.99,84.99,1597018141
369,Tungor,RU,53.38,142.96,92,71,67.06,67.06,1597018143
370,Chicama,PE,-7.84,-79.15,28,83,60.57,60.57,1597018144
371,Maple Creek,CA,49.92,-109.48,0,26,69.55,69.55,1597018145
372,Pangody,RU,65.85,74.49,89,82,52.23,52.23,1597018146
373,Taoudenni,ML,22.68,-3.98,0,12,101.01,101.01,1597018147
374,La Providencia,MX,28.72,-111.58,0,32,102.0,102.0,1597018148
